"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/13/2014","490350015","1","0.052","ppm","48","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/13/2014","490350015","1","0.052","ppm","48","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/14/2014","490350015","1","0.054","ppm","50","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/14/2014","490350015","1","0.054","ppm","50","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/15/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/15/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/16/2014","490350015","1","0.055","ppm","51","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/16/2014","490350015","1","0.055","ppm","51","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/17/2014","490350015","1","0.062","ppm","74","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/17/2014","490350015","1","0.062","ppm","74","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/18/2014","490350015","1","0.06","ppm","67","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/18/2014","490350015","1","0.06","ppm","67","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/19/2014","490350015","1","0.056","ppm","54","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/19/2014","490350015","1","0.056","ppm","54","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/20/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/20/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/21/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/21/2014","490350015","1","0.058","ppm","61","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/22/2014","490350015","1","0.054","ppm","50","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/22/2014","490350015","1","0.054","ppm","50","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/23/2014","490350015","1","0.047","ppm","44","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/23/2014","490350015","1","0.047","ppm","44","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/24/2014","490350015","1","0.052","ppm","48","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
"05/24/2014","490350015","1","0.052","ppm","48","17","100.0000","44201","Ozone","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.569","-111.659"
